Date,Open,High,Low,Close,Adj Close,Volume,Day,Day of the week
4/29/2014,0.79,0.81,0.77,0.78,0.78,99800,3,Tuesday
4/30/2014,0.77,0.8,0.76,0.77,0.77,100500,4,Wednesday
5/1/2014,0.78,0.79,0.75,0.75,0.75,332900,5,Thursday
5/2/2014,0.75,0.77,0.67,0.69,0.69,761600,6,Friday
5/5/2014,0.7,0.71,0.66,0.68,0.68,137500,2,Monday
5/6/2014,0.66,0.68,0.64,0.67,0.67,435800,3,Tuesday
5/7/2014,0.65,0.67,0.64,0.65,0.65,205000,4,Wednesday
5/8/2014,0.66,0.66,0.64,0.65,0.65,113400,5,Thursday
5/9/2014,0.63,0.67,0.61,0.61,0.61,146400,6,Friday
5/12/2014,0.65,0.65,0.62,0.62,0.62,116100,2,Monday
5/13/2014,0.62,0.69,0.61,0.65,0.65,348900,3,Tuesday
5/14/2014,0.69,0.69,0.67,0.67,0.67,188600,4,Wednesday
5/15/2014,0.67,0.7,0.67,0.7,0.7,230700,5,Thursday
5/16/2014,0.7,0.73,0.67,0.73,0.73,85300,6,Friday
5/19/2014,0.73,0.85,0.73,0.79,0.79,231900,2,Monday
5/20/2014,0.79,0.83,0.76,0.78,0.78,52500,3,Tuesday
5/21/2014,0.81,0.81,0.77,0.79,0.79,60100,4,Wednesday
5/22/2014,0.82,0.84,0.79,0.83,0.83,122800,5,Thursday
5/23/2014,0.78,0.81,0.77,0.81,0.81,113700,6,Friday
5/27/2014,0.79,0.8,0.78,0.78,0.78,133300,3,Tuesday
5/28/2014,0.78,0.8,0.77,0.78,0.78,66500,4,Wednesday
5/29/2014,0.77,0.78,0.74,0.74,0.74,133200,5,Thursday
5/30/2014,0.74,0.75,0.71,0.73,0.73,84800,6,Friday
6/2/2014,0.72,0.75,0.72,0.73,0.73,33800,2,Monday
6/3/2014,0.73,0.74,0.73,0.73,0.73,72200,3,Tuesday
6/4/2014,0.74,0.76,0.73,0.76,0.76,60000,4,Wednesday
6/5/2014,0.73,0.77,0.72,0.72,0.72,112200,5,Thursday
6/6/2014,0.72,0.75,0.72,0.72,0.72,60900,6,Friday
6/9/2014,0.74,0.81,0.72,0.8,0.8,84800,2,Monday
6/10/2014,0.82,0.83,0.72,0.78,0.78,318700,3,Tuesday
6/11/2014,0.77,0.78,0.73,0.74,0.74,55900,4,Wednesday
6/12/2014,0.75,0.76,0.72,0.75,0.75,220000,5,Thursday
6/13/2014,0.74,0.8,0.74,0.78,0.78,139100,6,Friday
6/16/2014,0.79,0.81,0.74,0.78,0.78,192800,2,Monday
6/17/2014,0.75,0.8,0.75,0.79,0.79,45100,3,Tuesday
